nombre,poblacion,superficie,continente
Afganistán,38928346,652230,Asia
Albania,2877797,28748,Europa
Alemania,83783942,357022,Europa
Andorra,77265,468,Europa
Angola,32866272,1246700,África
Antigua y Barbuda,97928,442,América
Arabia Saudita,34813871,2149690,Asia
Argelia,43851044,2381741,África
Argentina,45195777,2780400,América
Armenia,2963243,29743,Asia
Australia,25687041,7692024,Oceanía
Austria,8917205,83879,Europa
Azerbaiyán,10139177,86600,Asia
Bahamas,393248,13943,América
Bahréin,1701575,765,Asia
Bangladés,166303498,148460,Asia
Barbados,287375,430,América
Bielorrusia,9449323,207600,Europa
Bélgica,11589623,30528,Europa
Benín,12123200,11295,África
Bielorrusia,9449323,207600,Europa
Bolivia,11673021,1098581,América
Bosnia y Herzegovina,3280819,51197,Europa
Botsuana,2141206,581730,África
Brasil,213993437,8515767,América
Brunéi,453000,5765,Asia
Bulgaria,6951482,110879,Europa
Burkina Faso,20511873,272967,África
Burundi,11890784,27834,África
Cabo Verde,543767,4033,África
Camerún,22709892,475442,África
Canadá,38005238,9984670,América
Chad,16624458,1284000,África
Chile,19116201,756102,América
China,1439323776,9596961,Asia
Colombia,50882891,1141748,América
Comoras,806153,2235,África
Congo (Congo-Brazzaville),5509116,342000,África
Congo del Norte (Congo-Kinshasa),89561403,2344858,África
Costa Rica,5094118,51100,América
Croacia,4105267,56594,Europa
Cuba,11326616,109884,América
Dinamarca,5818553,43094,Europa
Dominica,71986,751,América
Egipto,102334155,1002450,África
El Salvador,6486201,21041,América
Emiratos Árabes Unidos,9890402,83600,Asia
Ecuador,17643060,276841,América
Eslovenia,2078654,20273,Europa
España,46754778,505990,Europa
Estonia,1326535,45227,Europa
Eswatini,1160164,17364,África
Etiopía,11411400,1104300,África
Fiji,896445,18274,Oceanía
Filipinas,111046913,300000,Asia
Finlandia,5540720,338455,Europa
Francia,65273511,551695,Europa
Gabón,2225734,267668,África
Gambia,2416661,11300,África
Georgia,3989167,69700,Asia
Ghana,31072940,238533,África
Grecia,10423054,131957,Europa
Grenada,112519,344,América
Guatemala,17915568,108889,América
Guinea,13132795,245857,África
Guinea-Bisáu,1968001,36125,África
Guyana,786559,2149690,América
Haití,11402584,27750,América
Honduras,9904607,112492,América
Hungría,9660351,93030,Europa
India,1380004385,3287263,Asia
Indonesia,273523615,1904569,Asia
Irak,40222493,438317,Asia
Irán,83992949,1648195,Asia
Irlanda,4937786,70273,Europa
Islándia,343599,103000,Europa
Israel,8655535,22072,Asia
Italia,60244639,301340,Europa
Jamaica,2961163,10991,América
Japón,125800000,377975,Asia
Jordania,10203140,89342,Asia
Kazajistán,18776707,2724900,Asia
Kenia,53771296,580367,África
Kirguistán,6524195,199951,Asia
Kiribati,119446,811,Oceanía
Kuwait,4270563,17818,Asia
Laos,7275556,236800,Asia
Lesoto,2141202,30355,África
Letonia,1886198,64559,Europa
Líbano,6825445,10452,Asia
Liberia,5057681,111369,África
Libia,6871292,1759540,África
Lituania,2722289,65300,Europa
Luxemburgo,634814,2586,Europa
Madagascar,27691018,587041,África
Malasia,32365999,330803,Asia
Malawi,19916257,118484,África
Maldivas,515696,298,Asia
Mali,20250833,1240192,África
Malta,514999,316,Europa
Marruecos,36910560,446550,África
Mauricio,1271768,2040,África
Mauritania,4649658,1030700,África
México,126190788,1964375,América
Mónaco,39242,2,Europa
Mongolia,3278297,1564116,Asia
Mozambique,31255435,801590,África
Namibia,2540905,825615,África
Nepal,29609623,147516,Asia
Nicaragua,6624554,130373,América
Nigeria,206139589,923768,África
Noruega,5421241,323802,Europa
Nueva Zelanda,5084300,268021,Oceanía
Nueva Guinea,8935000,462840,Oceanía
Omán,5106626,309500,Asia
Países Bajos,17134872,41543,Europa
Pakistán,225199937,881913,Asia
Panamá,4314768,75417,América
Paraguay,7132538,406752,América
Perú,32971854,1285216,América
Polonia,38386000,312696,Europa
Portugal,10196709,92212,Europa
Reino Unido,67886011,243610,Europa
República Centroafricana,5496064,622984,África
República Checa,10708981,78865,Europa
República del Congo,5509116,342000,África
República Dominicana,10847904,48730,América
Rumania,19237691,238397,Europa
Rusia,145912025,17098242,Europa
Rwanda,12952218,26338,África
Samoa,198410,2842,Oceanía
San Cristóbal y Nieves,53192,261,Oceanía
San Marino,33931,61,Europa
Santa Lucía,183600,616,Oceanía
Senegal,16425864,196722,África
Serbia,8772235,77474,Europa
Seychelles,98347,455,Oceanía
Sierra Leona,7976985,71740,África
Singapur,5850342,729,Asia
Siria,17500657,185180,Asia
Somalia,15893222,637657,África
Sudáfrica,59308690,1219090,África
Sudán,43849260,1861484,África
Suecia,10379295,450295,Europa
Suiza,8654622,41285,Europa
Tailandia,69799978,513120,Asia
Tanzania,59734218,945087,África
Tayikistán,9537645,143100,Asia
Togo,8278724,56785,África
Tonga,105697,748,Oceanía
Trinidad y Tobago,1399488,5128,América
Túnez,11818619,163610,África
Turkmenistán,5942069,491210,Asia
Turquía,84339067,783356,Asia
Ucrania,43733762,603500,Europa
Uganda,45741007,241038,África
Uruguay,3473730,176215,América
Uzbekistán,33469199,447400,Asia
Vanuatu,307145,12189,Oceanía
Venezuela,28435943,916445,América
Vietnam,98168829,331212,Asia
Yemen,29825968,527968,Asia
Zambia,18383855,752612,África
Zimbabue,14862924,390757,África
